순위,업소명,주소,분류,검색량
76,본가부산대연점,부산 남구 신선로 468-0,한식,1076
77,더맛,부산 남구 조각공원로 45-0,한식,1052
78,투썸플레이스용호메트로시티점,부산 남구 용호로54번길 10-0,카페/찻집,1041
79,조마루감자탕문현점,부산 남구 수영로 46-1,한식,996
80,와와샤브부산대연점,부산 남구 유엔평화로 32-0,전문음식,940
81,삼부자황제갈비살,부산 남구 유엔로169번길 97-0,한식,919
82,동산횟집,부산 남구 분포로 66-30,전문음식,900
82,안강식당,부산 남구 용호로159번길 119-0,한식,900
84,아델라7,부산 남구 황령대로319번나길 30-0,간이음식,892
85,큰집뼈다귀해장국,부산 남구 수영로266번길 134-0,한식,864
86,벌교궁꼬막한정식[한식],부산 남구 유엔로 159-0,한식,860
87,이비가짬뽕부산용당점 [중식],부산 남구 신선로 433-0,외국식,830
88,맛나감자탕대연점,부산 남구 진남로 17-0,한식,821
89,칠성식당본점,부산 남구 지게골로 7-0,전문음식,812
90,모짜르트,부산 남구 유엔평화로76번길 26-0,전문음식,806
91,라이옥경성대점,부산 남구 용소로7번길 76-0,외국식,784
92,도미노피자용호점,부산 남구 수영로 346-0,간이음식,778
93,착한소,부산 남구 수영로 72-0,한식,759
94,다다우동,부산 남구 유엔평화로 7-1,전문음식,731
95,옵스LG메트로시티점,부산 남구 분포로 113-0,간이음식,715
96,길목식당,부산 남구 석포로83번길 10-0,전문음식,701
97,하마,부산 남구 용호로 228-0,외국식,694
