상호명,카테고리,평점,주소,운영시간,메뉴,시설
송영희돈까스 영도점,"돈까스,우동",5.0,부산 영도구 남항로9번길 36 (우)49045,['null'],"{'수제돈가스': '8,000', '치즈돈가스': '9,000', '안심돈가스': '9,000', '매운돈가스': '9,000', '생선가스': '9,000'}",{}
그리너리,카페,3.0,부산 영도구 태종로65번길 11 1층 (우)49037,"['월,수,목,금,토,일 11:00 ~ 17:00']",{},{}
등대횟집,회,2.4,부산 영도구 남항로31번길 29 (우)49054,['매일 10:00 ~ 22:30'],"{'활어회비빔밥': '10,000', '모듬회(소)': '40,000', '전어(소)': '40,000', '우럭구이': '15,000', '줄돔': '변동가격'}",{}
태식이의소신,"육류,고기",5.0,부산 영도구 남항로9번길 34-1 (우)49045,['월~토 16:00 ~ 23:00'],{},{}
블루샥 부산영도대교점,블루샥,0,부산 영도구 봉래나루로 62 (우)49033,['월~금 08:00 ~ 21:00'],{},{'WIFI': '가능'}
족발의장인 족장 부산영도점,"족발,보쌈",5.0,부산 영도구 태종로 62 1층 (우)49042,['매일 11:00 ~ 24:00'],"{'추천\n산삼족발': '37,000', '추천\n산삼보쌈': '37,000', '숯불매운족발': '38,000', '숯불구이족발': '38,000', '숯불반반이족발': '38,000', '냉채족발': '39,000', '': ''}",{'WIFI': '가능'}
두메산골터줏대감,갈비,0,부산 영도구 태종로 86 2층 (우)49052,['null'],{},{}
맹꽁이,음식점,5.0,부산 영도구 남항로19번길 50 (우)49052,['null'],{},{}
1974윤,술집,5.0,부산 영도구 절영로 41 (우)49054,['null'],{},{}
영도뼈다귀,감자탕,5.0,부산 영도구 태종로73번길 13 (우)49037,['매일 10:00 ~ 22:00'],{},{}
동보성,중국요리,5.0,부산 영도구 태종로89번길 3 (우)49036,['null'],"{'탕수육 (소)': '15,000', '잡채': '13,000', '짜장면': '4,500', '우동': '4,500', '짬뽕밥': '5,500'}",{}
꿀돼지식당,"육류,고기",4.9,부산 영도구 남항로31번길 43 (우)49052,['매일 17:00 ~ 02:00'],{},{}
텐퍼센트커피 영도대교점,텐퍼센트커피,5.0,부산 영도구 태종로 65 (우)49037,['매일 08:00 ~ 21:00'],{},{}
고향집,삼겹살,5.0,부산 영도구 절영로35번길 25 1층 (우)49052,['매일 16:00 ~ 04:00'],"{'국내산냉동삼겹살': '5,000'}",{}
해안식품,"육류,고기",5.0,부산 영도구 태종로 39 (우)49037,['null'],{},{}
포항 물회집,회,5.0,부산 영도구 태종로73번길 9-1 (우)49037,['null'],{},{}
영도아나고숯불구이,장어,4.5,부산 영도구 절영로35번길 23 (우)49052,['null'],{},{}
대평마을다방,카페,2.5,부산 영도구 대평로27번길 6 1층 (우)49043,['매일 11:00 ~ 20:00'],{},{'주차': '가능'}
속에천불 청송얼음막걸리 영도대교점,"호프,요리주점",5.0,부산 영도구 태종로73번길 4 (우)49037,['null'],{},{}
G,"돈까스,우동",5.0,부산 영도구 남항로 3 (우)49045,['null'],"{'삼겹구이 비빔밥': '6,000', '제육 덮밥': '6,000', '소 불고기 덮밥': '7,000', '수제 등심 돈까스': '6,000', '수제 오븐치즈 돈까스': '7,000'}",{}
BBQ 부산아델라호텔점,BBQ,5.0,부산 영도구 태종로 45 (우)49037,['null'],"{'바삭갈릭(레몬보이500ml 증정)': '21,000', '단짠갈릭(레몬보이500ml 증정)': '23,000', '착착갈릭(레몬보이500ml 증정)': '24,000', '황금올리브치킨™': '20,000', '황올 반+양념 반': '21,000', '자메이카 소떡만나치킨': '24,000'}",{}
남포식당 남포물회,회,0,부산 영도구 태종로65번길 6 (우)49037,['월~토 08:00 ~ 21:00'],"{'비빔밥': '6,500', '순두부': '6,500', '김치찌개': '6,500', '된장찌개': '6,500', '육개장': '8,000'}",{}
구석집,한식,0,부산 영도구 절영로35번길 25-3 (우)49052,['null'],{},{}
호시,일본식주점,5.0,부산 영도구 남항로31번길 19 (우)49054,['null'],"{'참다랑어 대뱃살': '80,000', '민물장어초밥': '20,000', '홍어챠슈삼합': '30,000', '메로가마살구이': '25,000', '생우럭탕': '25,000'}",{}
춘 chun,카페,0,부산 영도구 절영로29번길 7 (우)49052,['null'],{},{}
제주곱창,"곱창,막창",4.7,부산 영도구 절영로35번길 14 (우)49054,['null'],"{'막창구이(1인분)': '7,000', '곱창전골(소)': '25,000', '곱창전골(대)': '35,000'}",{}
목촌나주곰탕왕갈비탕,한식,0,부산 영도구 남항로9번길 35 (우)49045,['null'],"{'맑은나주곰탕': '6,000', '특 맑은나주곰탕': '7,000', '우거지갈비해장국': '9,000', '사골곰탕': '7,000', '얼큰나주곰탕': '8,000'}",{}
국가대표명품찹쌀꽈배기 영도점,도넛,4.5,부산 영도구 대평로 8 (우)49041,['null'],"{'찹쌀 고구마치즈도넛츠(1개)': '1,500', '찹쌀 꽈배기(2개)': '1,000', '찹쌀 (녹두)공룡알(2개)': '1,000', '찹쌀 팥도넛츠(1개)': '1,000', '찹쌀 고구마도넛(1개)': '1,000'}",{}
나무섬,회,5.0,부산 영도구 절영로35번길 25 1층 (우)49052,['null'],"{'모둠회': '40,000'}","{'WIFI': '가능', '주차': '', '휠체어사용': '가능', '놀이방': '', '흡연실': ''}"
영도진주냉면,냉면,1.0,부산 영도구 절영로 15-1 (우)49036,['null'],"{'물냉면': '8,000', '비빔냉면': '9,000', '물비빔냉면': '9,000', '육전': '13,000', '갈비찜(중)': '40,000'}",{}
회산물,회,0,부산 영도구 남항로31번길 35 1층 (우)49054,['화~일 16:00 ~ 01:00'],"{'추천\n모듬회': '35,000'}",{}
